,Store Number,City,Total Sales,Total Sales mean,County Number,Price per Liter mean_x,Zip Code,Total Volume Sold (Liters),Total Volume Sold (Liters) mean,Total Margin mean,2015 Sales,2015 Sales mean,Price per Liter mean_y,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales,2016 Sales mean,Price per Liter mean,2016 Volume Sold (Liters),2016 Volume Sold (Liters) mean,2016 Margin mean,2016 Sales Q1
37,2518,RED OAK,44863.45,99.4754988914,69.0,18.9118066954,51566,3562.38,7.89884700665,33.2056097561,38584.21,99.1882005141,19.1430626407,3128.36,8.04205655527,33.1112596401,10133.4,6279.24,101.278064516,17.4608621352,434.02,7.00032258065,33.7975806452,6279.24
38,2521,WEST DES MOINES,133349.97,135.243377282,77.0,19.5543627492,50265,9393.25,9.52662271805,45.1770283976,107379.85,136.615585242,19.0612378883,7775.4,9.89236641221,45.6446946565,25152.34,25970.12,129.8506,21.4923434524,1617.85,8.08925,43.3391,25970.12
39,2522,SPIRIT LAKE,129659.53,166.017323944,30.0,17.4816271874,51360,8919.19,11.4202176697,55.4262483995,112353.87,172.321886503,17.7468267967,7637.09,11.7133282209,57.5370552147,17085.59,17305.66,134.152403101,16.1412384644,1282.1,9.93875968992,44.7576744186,17305.66
40,2523,CENTERVILLE,47365.21,98.4723700624,4.0,17.6577851699,52544,4109.86,8.54440748441,32.9082328482,35476.85,88.692125,17.5153426192,3183.06,7.95765,29.617875,6249.85,11888.36,146.769876543,18.3612051734,926.8,11.4419753086,49.1569135802,11888.36
41,2524,DUBUQUE,129428.34,144.936550952,31.0,18.94729126,52001,8397.75,9.40397536394,48.4055543113,103507.58,149.361587302,18.8472409811,6728.19,9.70878787879,49.8998701299,20151.17,25920.76,129.6038,19.2939654762,1669.56,8.3478,43.22775,25920.76
42,2527,DES MOINES,66998.34,113.364365482,77.0,17.0027133188,50315,5209.04,8.81394247039,37.9278680203,56331.05,118.342542017,16.6190611244,4392.49,9.22792016807,39.6182142857,11848.69,10667.29,92.7590434783,18.590699793,816.55,7.10043478261,30.9313043478,10667.29
43,2528,DES MOINES,138676.73,178.477129987,77.0,17.7135055464,50315,8905.1,11.4608751609,59.6302316602,121199.45,187.906124031,17.7353458841,7700.05,11.9380620155,62.7890542636,20559.95,17477.28,132.403636364,17.6067857143,1205.05,9.12916666667,44.1950757576,17477.28
44,2529,CEDAR RAPIDS,42563.22,72.0189847716,57.0,14.6611415474,52405,4333.16,7.33191201354,24.0636886633,35599.6,76.5582795699,14.5573492449,3709.64,7.97772043011,25.5804731183,5251.27,6963.62,55.2668253968,15.0441845686,623.52,4.94857142857,18.466031746,6963.62
45,2532,DES MOINES,64269.02,128.025936255,77.0,14.3432792639,50317,5145.35,10.2497011952,42.8460159363,53207.99,128.832905569,14.3113974403,4254.25,10.3008474576,43.1306779661,11724.24,11061.03,124.281235955,14.4912252541,891.1,10.0123595506,41.5250561798,11061.03
46,2535,WEST DES MOINES,82065.84,134.313977087,77.0,18.7740784479,50265,5726.06,9.3716202946,45.2050736498,70392.17,142.783306288,18.7117598128,4868.03,9.87430020284,48.123326572,22751.92,11673.67,98.9294067797,19.034443593,858.03,7.27144067797,33.0127118644,11673.67
